"Long","Lat","Opuntia","geometry"
36.8438088596,0.55459120405,1,c(36.8438088596, 0.55459120405)
36.85018549,0.55395444091,1,c(36.85018549, 0.55395444091)
36.850582658,0.55166866256,1,c(36.850582658, 0.55166866256)
36.8563013072,0.55196416397,1,c(36.8563013072, 0.55196416397)
36.8594913294,0.55432661629,1,c(36.8594913294, 0.55432661629)
36.8639169642,0.55453567962,1,c(36.8639169642, 0.55453567962)
36.8629933501,0.55672426803,1,c(36.8629933501, 0.55672426803)
36.8638529414,0.5570426474,1,c(36.8638529414, 0.5570426474)
36.8377257058,0.56435759732,1,c(36.8377257058, 0.56435759732)
36.8421239528,0.56362168014,1,c(36.8421239528, 0.56362168014)
36.8482257289,0.56142565436,1,c(36.8482257289, 0.56142565436)
36.851604634,0.5630993141,1,c(36.851604634, 0.5630993141)
36.8549595752,0.56157200734,1,c(36.8549595752, 0.56157200734)
36.8616199856,0.56086004683,1,c(36.8616199856, 0.56086004683)
36.8639532072,0.56203728932,1,c(36.8639532072, 0.56203728932)
36.8397938504,0.56631367552,1,c(36.8397938504, 0.56631367552)
36.8447090634,0.56642610544,1,c(36.8447090634, 0.56642610544)
36.8476093217,0.56769130259,1,c(36.8476093217, 0.56769130259)
36.8539138752,0.56498435897,1,c(36.8539138752, 0.56498435897)
36.8573439479,0.56520297771,1,c(36.8573439479, 0.56520297771)
36.8597907802,0.56814970616,1,c(36.8597907802, 0.56814970616)
36.8644768084,0.56712310451,1,c(36.8644768084, 0.56712310451)
36.8147207253,0.56940740238,1,c(36.8147207253, 0.56940740238)
36.8224528207,0.57016179548,1,c(36.8224528207, 0.57016179548)
36.8283007274,0.5692783606,1,c(36.8283007274, 0.5692783606)
36.84323023,0.57073199454,1,c(36.84323023, 0.57073199454)
36.8476786033,0.57223718226,1,c(36.8476786033, 0.57223718226)
36.8530742955,0.57264552072,1,c(36.8530742955, 0.57264552072)
36.857330119,0.57187129292,1,c(36.857330119, 0.57187129292)
36.8595994971,0.56946589325,1,c(36.8595994971, 0.56946589325)
36.8661183108,0.5728054582,1,c(36.8661183108, 0.5728054582)
36.8178817851,0.57430557303,1,c(36.8178817851, 0.57430557303)
36.8211923794,0.57683648956,1,c(36.8211923794, 0.57683648956)
36.8256279107,0.57633600612,1,c(36.8256279107, 0.57633600612)
36.8281325355,0.57524108985,1,c(36.8281325355, 0.57524108985)
36.8339522901,0.57607027468,1,c(36.8339522901, 0.57607027468)
36.8410403862,0.57567364172,1,c(36.8410403862, 0.57567364172)
36.8439363157,0.57488093162,1,c(36.8439363157, 0.57488093162)
36.8462999781,0.57441775103,1,c(36.8462999781, 0.57441775103)
36.8536226504,0.57642469968,1,c(36.8536226504, 0.57642469968)
36.8629529518,0.57728457959,1,c(36.8629529518, 0.57728457959)
36.8678109381,0.57666953736,1,c(36.8678109381, 0.57666953736)
36.8081544393,0.58241402008,1,c(36.8081544393, 0.58241402008)
36.8137669303,0.57964659014,1,c(36.8137669303, 0.57964659014)
36.8177838312,0.58268213062,1,c(36.8177838312, 0.58268213062)
36.8233392038,0.5811841655,1,c(36.8233392038, 0.5811841655)
36.8258065769,0.58090300667,1,c(36.8258065769, 0.58090300667)
36.830670212,0.58166954775,1,c(36.830670212, 0.58166954775)
36.8359783671,0.58174932653,1,c(36.8359783671, 0.58174932653)
36.8393122089,0.57843253299,1,c(36.8393122089, 0.57843253299)
36.8427266545,0.57944072614,1,c(36.8427266545, 0.57944072614)
36.8515405101,0.58223094144,1,c(36.8515405101, 0.58223094144)
36.8618617095,0.58123412973,1,c(36.8618617095, 0.58123412973)
36.864342623,0.58249084548,1,c(36.864342623, 0.58249084548)
36.8064290962,0.5857157602,1,c(36.8064290962, 0.5857157602)
36.8136498668,0.58580144202,1,c(36.8136498668, 0.58580144202)
36.8183193884,0.58332218037,1,c(36.8183193884, 0.58332218037)
36.8229217433,0.58364763819,1,c(36.8229217433, 0.58364763819)
36.8257642816,0.58641985174,1,c(36.8257642816, 0.58641985174)
36.8289400135,0.5837173017,1,c(36.8289400135, 0.5837173017)
36.8364523014,0.58403502527,1,c(36.8364523014, 0.58403502527)
36.8385263242,0.58480303005,1,c(36.8385263242, 0.58480303005)
36.8457566048,0.58503533931,1,c(36.8457566048, 0.58503533931)
36.8493585737,0.58428173172,1,c(36.8493585737, 0.58428173172)
36.8526139212,0.58348756931,1,c(36.8526139212, 0.58348756931)
36.8579393353,0.58401801655,1,c(36.8579393353, 0.58401801655)
36.8659001575,0.58668947117,1,c(36.8659001575, 0.58668947117)
36.8078847569,0.58940479045,1,c(36.8078847569, 0.58940479045)
36.8143921309,0.58959580186,1,c(36.8143921309, 0.58959580186)
36.8167300577,0.58760418699,1,c(36.8167300577, 0.58760418699)
36.8226123935,0.58853399295,1,c(36.8226123935, 0.58853399295)
36.8246998591,0.59019129872,1,c(36.8246998591, 0.59019129872)
36.8309438451,0.59070761931,1,c(36.8309438451, 0.59070761931)
36.8363865166,0.58914857277,1,c(36.8363865166, 0.58914857277)
36.8390592642,0.59159019921,1,c(36.8390592642, 0.59159019921)
36.843689739,0.59061089463,1,c(36.843689739, 0.59061089463)
36.8489871757,0.58901173321,1,c(36.8489871757, 0.58901173321)
36.8514814803,0.5906587847,1,c(36.8514814803, 0.5906587847)
36.8586445205,0.58972117723,1,c(36.8586445205, 0.58972117723)
36.8621492564,0.58993794407,1,c(36.8621492564, 0.58993794407)
36.8654686943,0.59105588958,1,c(36.8654686943, 0.59105588958)
36.7975397171,0.59616742725,1,c(36.7975397171, 0.59616742725)
36.8060963355,0.59300113551,1,c(36.8060963355, 0.59300113551)
36.8120388331,0.59187925305,1,c(36.8120388331, 0.59187925305)
36.81729011,0.59628641157,1,c(36.81729011, 0.59628641157)
36.8217033735,0.59362562773,1,c(36.8217033735, 0.59362562773)
36.8243317788,0.59363327214,1,c(36.8243317788, 0.59363327214)
36.8312561803,0.59341757998,1,c(36.8312561803, 0.59341757998)
36.8336683892,0.59531646561,1,c(36.8336683892, 0.59531646561)
36.8397574637,0.59531164055,1,c(36.8397574637, 0.59531164055)
36.842224665,0.59427489738,1,c(36.842224665, 0.59427489738)
36.8476604523,0.59423870676,1,c(36.8476604523, 0.59423870676)
36.85088944,0.59234992947,1,c(36.85088944, 0.59234992947)
36.8572559061,0.5960927285,1,c(36.8572559061, 0.5960927285)
36.8659817026,0.59364167054,1,c(36.8659817026, 0.59364167054)
36.8694715416,0.59621560462,1,c(36.8694715416, 0.59621560462)
36.7882623347,0.59669564334,1,c(36.7882623347, 0.59669564334)
36.7975188541,0.59769543358,1,c(36.7975188541, 0.59769543358)
36.8039426281,0.59706966809,1,c(36.8039426281, 0.59706966809)
36.809757421,0.59997976541,1,c(36.809757421, 0.59997976541)
36.8104313179,0.5988445753,1,c(36.8104313179, 0.5988445753)
36.8165110772,0.59922854876,1,c(36.8165110772, 0.59922854876)
36.8198194454,0.59679953497,1,c(36.8198194454, 0.59679953497)
36.8265911405,0.60048865355,1,c(36.8265911405, 0.60048865355)
36.8285298196,0.59872369177,1,c(36.8285298196, 0.59872369177)
36.834133708,0.59958079102,1,c(36.834133708, 0.59958079102)
36.8411311223,0.59779113305,1,c(36.8411311223, 0.59779113305)
36.8450860524,0.60000850482,1,c(36.8450860524, 0.60000850482)
36.8469388954,0.59974599342,1,c(36.8469388954, 0.59974599342)
36.8532029578,0.60017961437,1,c(36.8532029578, 0.60017961437)
36.8582882802,0.59858028441,1,c(36.8582882802, 0.59858028441)
36.8705237443,0.59641827104,1,c(36.8705237443, 0.59641827104)
36.7964704365,0.60165663434,1,c(36.7964704365, 0.60165663434)
36.8031751072,0.60194953852,1,c(36.8031751072, 0.60194953852)
36.8078103895,0.60357934509,1,c(36.8078103895, 0.60357934509)
36.8131739172,0.60184854831,1,c(36.8131739172, 0.60184854831)
36.8188198968,0.60309052438,1,c(36.8188198968, 0.60309052438)
36.8228496434,0.60397951734,1,c(36.8228496434, 0.60397951734)
36.8262920624,0.60431340923,1,c(36.8262920624, 0.60431340923)
36.830288358,0.60403004461,1,c(36.830288358, 0.60403004461)
36.8356552175,0.60151834172,1,c(36.8356552175, 0.60151834172)
36.8392168969,0.60185770356,1,c(36.8392168969, 0.60185770356)
36.8453908558,0.60426511239,1,c(36.8453908558, 0.60426511239)
36.8472271307,0.60187114405,1,c(36.8472271307, 0.60187114405)
36.8524178893,0.60432061017,1,c(36.8524178893, 0.60432061017)
36.8556462675,0.6042135282,1,c(36.8556462675, 0.6042135282)
36.8626076423,0.60225829824,1,c(36.8626076423, 0.60225829824)
36.8669095809,0.60165902236,1,c(36.8669095809, 0.60165902236)
36.8713707883,0.60158484438,1,c(36.8713707883, 0.60158484438)
36.8003988085,0.60829282403,1,c(36.8003988085, 0.60829282403)
36.8048803085,0.60687642857,1,c(36.8048803085, 0.60687642857)
36.805590963,0.60571220271,1,c(36.805590963, 0.60571220271)
36.81261952,0.60903111434,1,c(36.81261952, 0.60903111434)
36.8147210425,0.60712956495,1,c(36.8147210425, 0.60712956495)
36.8201954983,0.60834709993,1,c(36.8201954983, 0.60834709993)
36.8267348503,0.60659523091,1,c(36.8267348503, 0.60659523091)
36.8284171782,0.6056020625,1,c(36.8284171782, 0.6056020625)
36.8346236549,0.60945215629,1,c(36.8346236549, 0.60945215629)
36.8385764654,0.60589267074,1,c(36.8385764654, 0.60589267074)
36.8430304035,0.60790833235,1,c(36.8430304035, 0.60790833235)
36.8465167175,0.60545029229,1,c(36.8465167175, 0.60545029229)
36.8529752402,0.60824873933,1,c(36.8529752402, 0.60824873933)
36.8549961719,0.60703545285,1,c(36.8549961719, 0.60703545285)
36.8602168586,0.60582815669,1,c(36.8602168586, 0.60582815669)
36.8695579385,0.60597572499,1,c(36.8695579385, 0.60597572499)
36.7885829855,0.6121322522,1,c(36.7885829855, 0.6121322522)
36.7941143194,0.61421072435,1,c(36.7941143194, 0.61421072435)
36.7970755107,0.61225920613,1,c(36.7970755107, 0.61225920613)
36.8081584624,0.61148004525,1,c(36.8081584624, 0.61148004525)
36.8100887766,0.61095940878,1,c(36.8100887766, 0.61095940878)
36.8160981681,0.61341498099,1,c(36.8160981681, 0.61341498099)
36.8225349202,0.61416198505,1,c(36.8225349202, 0.61416198505)
36.8244784809,0.61231680591,1,c(36.8244784809, 0.61231680591)
36.8323436589,0.61346709371,1,c(36.8323436589, 0.61346709371)
36.8353958845,0.61073496129,1,c(36.8353958845, 0.61073496129)
36.838471181,0.61389622939,1,c(36.838471181, 0.61389622939)
36.8451132246,0.61168465968,1,c(36.8451132246, 0.61168465968)
36.8499029057,0.61097225878,1,c(36.8499029057, 0.61097225878)
36.8514061704,0.61341238862,1,c(36.8514061704, 0.61341238862)
36.8553772442,0.61051525327,1,c(36.8553772442, 0.61051525327)
36.8631727708,0.61051464623,1,c(36.8631727708, 0.61051464623)
