"Long","Lat","Opuntia"
"36.8258065769",0.58090300667,1
"36.830670212",0.58166954775,1
"36.8359783671",0.58174932653,1
"36.8393122089",0.57843253299,1
"36.8427266545",0.57944072614,1
"36.8515405101",0.58223094144,1
"36.8618617095",0.58123412973,1
"36.864342623",0.58249084548,1
"36.8064290962",0.5857157602,1
"36.8136498668",0.58580144202,1
"36.8183193884",0.58332218037,1
"36.8229217433",0.58364763819,1
"36.8257642816",0.58641985174,1
"36.8289400135",0.5837173017,1
"36.8364523014",0.58403502527,1
"36.8385263242",0.58480303005,1
"36.8457566048",0.58503533931,1
"36.8493585737",0.58428173172,1
"36.8526139212",0.58348756931,1
"36.8579393353",0.58401801655,1
"36.8659001575",0.58668947117,1
"36.8078847569",0.58940479045,1
"36.8143921309",0.58959580186,1
"36.8167300577",0.58760418699,1
"36.8226123935",0.58853399295,1
"36.8246998591",0.59019129872,1
"36.8309438451",0.59070761931,1
"36.8363865166",0.58914857277,1
"36.8390592642",0.59159019921,1
"36.843689739",0.59061089463,1
"36.8489871757",0.58901173321,1
"36.8514814803",0.5906587847,1
"36.8586445205",0.58972117723,1
"36.8621492564",0.58993794407,1
"36.8654686943",0.59105588958,1
"36.7975397171",0.59616742725,1
"36.8060963355",0.59300113551,1
"36.8120388331",0.59187925305,1
"36.81729011",0.59628641157,1
"36.8217033735",0.59362562773,1
"36.8243317788",0.59363327214,1
"36.8312561803",0.59341757998,1
"36.8336683892",0.59531646561,1
"36.8397574637",0.59531164055,1
"36.842224665",0.59427489738,1
"36.8476604523",0.59423870676,1
"36.85088944",0.59234992947,1
"36.8572559061",0.5960927285,1
"36.8659817026",0.59364167054,1
"36.8694715416",0.59621560462,1
"36.7882623347",0.59669564334,1
"36.7975188541",0.59769543358,1
"36.8039426281",0.59706966809,1
"36.809757421",0.59997976541,1
"36.8104313179",0.5988445753,1
"36.8165110772",0.59922854876,1
"36.8198194454",0.59679953497,1
"36.8265911405",0.60048865355,1
"36.8285298196",0.59872369177,1
"36.834133708",0.59958079102,1
"36.8411311223",0.59779113305,1
"36.8450860524",0.60000850482,1
"36.8469388954",0.59974599342,1
"36.8532029578",0.60017961437,1
"36.8582882802",0.59858028441,1
"36.8705237443",0.59641827104,1
"36.7964704365",0.60165663434,1
"36.8031751072",0.60194953852,1
"36.8078103895",0.60357934509,1
"36.8131739172",0.60184854831,1
"36.8188198968",0.60309052438,1
"36.8228496434",0.60397951734,1
"36.8262920624",0.60431340923,1
"36.830288358",0.60403004461,1
"36.8356552175",0.60151834172,1
"36.8392168969",0.60185770356,1
"36.8453908558",0.60426511239,1
"36.8472271307",0.60187114405,1
"36.8524178893",0.60432061017,1
"36.8556462675",0.6042135282,1
